TRADEDATE,close,ret,date_raw,key_rate,inflation,inflation_target
2024-09-05,2621.62,0.0063220927777669,9.2024,19.0,8.63,4.0
2024-09-06,2623.37,0.0006675261860986,9.2024,19.0,8.63,4.0
2024-09-09,2703.17,0.0304188886813527,9.2024,19.0,8.63,4.0
2024-09-10,2671.38,-0.0117602666498962,9.2024,19.0,8.63,4.0
2024-09-11,2668.03,-0.0012540334957961,9.2024,19.0,8.63,4.0
2024-09-12,2615.0,-0.0198760883498312,9.2024,19.0,8.63,4.0
2024-09-13,2678.99,0.0244703632887188,9.2024,19.0,8.63,4.0
2024-09-16,2744.2,0.0243412629386448,9.2024,19.0,8.63,4.0
2024-09-17,2774.04,0.0108738430143575,9.2024,19.0,8.63,4.0
2024-09-18,2751.73,-0.0080424218828856,9.2024,19.0,8.63,4.0
2024-09-19,2758.91,0.0026092676243671,9.2024,19.0,8.63,4.0
2024-09-20,2782.35,0.0084961089705717,9.2024,19.0,8.63,4.0
2024-09-23,2819.87,0.0134850036839362,9.2024,19.0,8.63,4.0
2024-09-24,2871.96,0.0184724827740285,9.2024,19.0,8.63,4.0
2024-09-25,2830.11,-0.0145719299711695,9.2024,19.0,8.63,4.0
2024-09-26,2829.65,-0.0001625378518855,9.2024,19.0,8.63,4.0
2024-09-27,2858.56,0.0102168112664109,9.2024,19.0,8.63,4.0
2024-09-30,2857.56,-0.0003498264860629,9.2024,19.0,8.63,4.0
2024-10-01,2814.19,-0.0151772841165189,10.2024,21.0,8.54,4.0
2024-10-02,2766.79,-0.0168432124341284,10.2024,21.0,8.54,4.0
2024-10-03,2782.39,0.0056383028708357,10.2024,21.0,8.54,4.0
2024-10-04,2804.62,0.0079895341774518,10.2024,21.0,8.54,4.0
2024-10-07,2793.84,-0.0038436579643587,10.2024,21.0,8.54,4.0
2024-10-08,2788.37,-0.0019578787618476,10.2024,21.0,8.54,4.0
2024-10-09,2748.81,-0.0141875002241452,10.2024,21.0,8.54,4.0
2024-10-10,2761.54,0.0046310949101611,10.2024,21.0,8.54,4.0
2024-10-11,2754.52,-0.0025420598651476,10.2024,21.0,8.54,4.0
2024-10-14,2773.36,0.006839667165241,10.2024,21.0,8.54,4.0
2024-10-15,2805.79,0.0116933971788733,10.2024,21.0,8.54,4.0
2024-10-16,2783.46,-0.0079585428702789,10.2024,21.0,8.54,4.0
2024-10-17,2763.53,-0.0071601531906332,10.2024,21.0,8.54,4.0
2024-10-18,2751.9,-0.0042083856516846,10.2024,21.0,8.54,4.0
2024-10-21,2767.71,0.005745121552382,10.2024,21.0,8.54,4.0
2024-10-22,2755.19,-0.0045235953188736,10.2024,21.0,8.54,4.0
2024-10-23,2734.93,-0.0073533948656899,10.2024,21.0,8.54,4.0
2024-10-24,2718.42,-0.0060367175759524,10.2024,21.0,8.54,4.0
2024-10-25,2660.36,-0.0213579947175197,10.2024,21.0,8.54,4.0
2024-10-28,2575.06,-0.0320633297749177,10.2024,21.0,8.54,4.0
2024-10-29,2599.66,0.0095531754599893,10.2024,21.0,8.54,4.0
2024-10-30,2615.38,0.0060469446004478,10.2024,21.0,8.54,4.0
2024-10-31,2560.2,-0.0210982725263634,10.2024,21.0,8.54,4.0
2024-11-01,2574.71,0.0056675259745333,11.2024,21.0,8.88,4.0
2024-11-02,2594.38,0.00763969534433,11.2024,21.0,8.88,4.0
2024-11-05,2616.51,0.0085299763334592,11.2024,21.0,8.88,4.0
2024-11-06,2662.87,0.0177182582906236,11.2024,21.0,8.88,4.0
2024-11-07,2690.63,0.0104248423693233,11.2024,21.0,8.88,4.0
2024-11-08,2734.56,0.0163270312157375,11.2024,21.0,8.88,4.0
2024-11-11,2785.31,0.018558744368381,11.2024,21.0,8.88,4.0
2024-11-12,2756.76,-0.0102502055426504,11.2024,21.0,8.88,4.0
2024-11-13,2763.99,0.0026226439733598,11.2024,21.0,8.88,4.0
2024-11-14,2697.47,-0.0240666572599755,11.2024,21.0,8.88,4.0
2024-11-15,2739.21,0.015473758744305,11.2024,21.0,8.88,4.0
2024-11-18,2720.77,-0.0067318679473279,11.2024,21.0,8.88,4.0
2024-11-19,2630.51,-0.0331744322379325,11.2024,21.0,8.88,4.0
2024-11-20,2596.89,-0.0127807915575307,11.2024,21.0,8.88,4.0
2024-11-21,2568.6,-0.0108937998914085,11.2024,21.0,8.88,4.0
2024-11-22,2581.05,0.0048469983648682,11.2024,21.0,8.88,4.0
2024-11-25,2530.69,-0.0195114391429844,11.2024,21.0,8.88,4.0
2024-11-26,2464.35,-0.0262141945477321,11.2024,21.0,8.88,4.0
2024-11-27,2491.88,0.0111713027776088,11.2024,21.0,8.88,4.0
2024-11-28,2547.88,0.0224729922789219,11.2024,21.0,8.88,4.0
2024-11-29,2578.0,0.0118215928536664,11.2024,21.0,8.88,4.0
2024-12-02,2586.74,0.003390224980605,12.2024,21.0,9.52,4.0
2024-12-03,2539.64,-0.018208246673419,12.2024,21.0,9.52,4.0
2024-12-04,2485.62,-0.0212707312847489,12.2024,21.0,9.52,4.0
